Id,Code,Name,Position,Address,PostalCode,StreetId,Phone,LabType,HasMonitor,Host,Port,Status
54,S-310112-84-9,上海老涂餐饮有限公司,POINT(121.442785 31.083314),闵行区梅陇镇向阳路228弄66号2幢、3幢,200000,84,18916265162,2,0,210.14.76.247,8000,1
55,S-310112-85-2,上海金钱犳餐饮有限公司,POINT(121.423354 31.1348),闵行区虹中路735号,200000,85,13701892718,2,0,210.14.76.247,8000,1
56,S-310112-88-4,上海昊客餐饮管理有限公司,POINT(121.271216 31.247353),闵行区联友路2360弄55号,200000,88,13818697408,2,0,210.14.76.247,8000,1
57,S-310112-83,上海正义园艺有限公司,POINT(121.525833 31.091014),上海市闵行区浦江镇三鲁路3585号2号楼,200000,83,18001866227,2,0,210.14.76.247,8000,1
58,S-310112-78-2,上海宝昌餐饮管理有限公司,POINT(121.383959 31.019119),闵行区江川路街道文井路495号2幢1层,200000,78,13817212618 ,2,0,210.14.76.247,8000,1
59,S-310112-88-5,上海汉图餐饮管理有限公司,POINT(121.348637 31.232922),闵行区华漕镇北翟路1444弄178号2幢,200000,88,114,2,0,210.14.76.247,8000,1
60,S-310112-78-3,上海捷食玛餐饮有限公司,POINT(121.371594 30.99794), 闵行区江川路1800号106,200000,78,114,2,0,210.14.76.247,8000,1
61,S-310112-78-4,上海味鑫餐饮管理有限公司,POINT(121.436341 31.009936),闵行区江川路街道横泾东路49弄23号,200000,78,114,2,0,210.14.76.247,8000,1
62,S-310112-84-10,上海金阳葱企业管理咨询有限公司,POINT(121.432366 31.088487),闵行区梅陇镇沪光东路128号4号楼,200000,84,114,2,0,210.14.76.247,8000,1
63,S-310112-88-6,九橙餐饮服务有限公司闵行分公司,POINT(121.36178 31.024666),闵行区马桥镇陪昆路219号3幢,200000,88,114,2,0,210.14.76.247,8000,1
64,S-310112-84-11,上海唐宫食品有限公司,POINT(121.433449 31.087651),闵行区梅陇镇沪光东路158号2号厂房一楼,200000,84,15618716825,2,0,210.14.76.247,8000,1
65,K-310112-86,马桥分所快检室,POINT(121.384111 31.036533),北松公路1711号,200000,86,18121275883,1,0,210.14.76.247,8000,1
66,K-310112-80,新虹分所快检室,POINT(121.314529 31.211341),申滨路699号二楼,200000,80,18116072905,1,0,210.14.76.247,8000,1
67,K-310112-78,江川分所快检室,POINT(121.421576 31.014476),鹤庆路398号4楼,200000,78,18116072855,1,0,210.14.76.247,8000,1
68,K-310112-87,吴泾分所快检室,POINT(121.480009 31.049025),剑川路55号,200000,87,18116072866,1,0,210.14.76.247,8000,1
69,K-310112-79,古美分所快检室,POINT(121.413502 31.148199),平阳路141号,200000,79,18116070020,1,0,210.14.76.247,8000,1
70,K-310112-89,颛桥分所快检室,POINT(121.396347 31.069774),颛兴路703号,200000,89,18116070010,1,0,210.14.76.247,8000,1
71,K-310112-84-1,梅陇分所快检室,POINT(121.411975 31.127498),罗锦路523号,200000,84,18116070186,1,0,210.14.76.247,8000,1
72,S-310112-86-1,华银坊农贸市场,POINT(121.396874 31.030801),闵行区华宁路1459号,200000,86,13918417930,2,0,210.14.76.247,8000,1
73,S-310112-89-4,闵行工业区,POINT(121.402781 31.061704),鑫都路2551号207,200000,89,18116072602,2,0,210.14.76.247,8000,1
74,S-310112-78-5,新安集贸市场,POINT(121.43311 31.00523),闵行区建设路38号,200000,78,114,2,0,210.14.76.247,8000,1
75,S-310112-83-1,浦众农贸市场,POINT(121.543337 31.107298),闵行区苏召路1638号,200000,83,114,2,0,210.14.76.247,8000,1
76,S-310112-84-12,上海小南国营养餐食品有限公司,POINT(121.436089 31.075179),闵行区莲花南路2399号梅莲工业区3号乙,200000,84,114,2,0,210.14.76.247,8000,1
77,K-310115-124,上海国际旅游度假区快检室,POINT(121.677336 31.142364),上海迪士尼度假区附近,200000,124,114,1,0,210.14.76.247,8000,1
78,K-310112-82,七宝分所,POINT(121.356284 31.16367),吴宝路29号,200000,82,114,1,0,210.14.76.247,8000,1
79,K-310105-28-2,综合执法大队,POINT(121.412772 31.221032),云雾山路39号4楼,200050,28,15001762268,1,0,210.14.76.247,8000,1
80,K-310105-28,天山市场监督管理所,POINT(121.41201 31.221285),云雾山路79号,200050,28,13818055244,1,0,210.14.76.247,8000,1
81,K-310105-29,周桥市场监督管理所,POINT(121.412111 31.221295),云雾山路79号,200050,29,15800336627,1,0,210.14.76.247,8000,1
82,K-310105-34-2,临空市场监督管理所,POINT(121.360871 31.230795),协和路1158号,200050,34,13801609427,1,0,210.14.76.247,8000,1
83,K-310105-31,仙霞市场监督管理所,POINT(121.391407 31.216814),威宁路258号7楼,200050,31,13585580175,1,0,210.14.76.247,8000,1
84,K-310105-33,北新泾市场监督管理所,POINT(121.38484 31.225075),长宁路3333号,200050,33,13916130180,1,0,210.14.76.247,8000,1
85,K-310105-27,江苏路市场监督管理所,POINT(121.431436 31.232538),江苏北路125号,200050,27,13916130176,1,0,210.14.76.247,8000,1
86,K-310105-25,华阳市场监督管理所,POINT(121.428656 31.222311),定西路1289号（临时办公地址）,200050,25,13585647481,1,0,210.14.76.247,8000,1
87,K-310105-34,新泾市场监督管理所,POINT(121.380786 31.217209),哈密路444号二楼（装修中）,200050,34,13916139706,1,0,210.14.76.247,8000,1
88,K-310105-32,程家桥市场监督管理所,POINT(121.428656 31.222311),定西路1289号（临时办公地址）,200050,32,13816232027,1,0,210.14.76.247,8000,1
89,S-310105-34,美天虹康菜场,POINT(121.372347 31.213825),仙霞西路299弄3号,200050,34,15000775547,2,0,210.14.76.247,8000,1
90,K-310100-210,上海市食品药品监督管理局执法总队,POINT(121.427199 31.185911),柳州路615号,200233,210,61675500,1,0,210.14.76.247,8000,1
91,K-310112-88,华漕分所,POINT(121.290365 31.222687),纪翟路988号2楼,201107,88,18116072668,1,0,210.14.76.247,8000,1
92,K-310112-81,莘庄分所,POINT(121.376276 31.126343),疏影路677号,201199,81,18116072767,1,0,210.14.76.247,8000,1
93,K-310112-83-1,浦锦分所,POINT(121.530693 31.078325),三鲁公路2815号,201112,83,114,1,0,210.14.76.247,8000,1
94,K-310113-95,大场市场监督管理所,POINT(121.403083 31.316985),大场市场监督管理所,200000,95,114,1,0,210.14.76.247,8000,1
95,K-310113-96,顾村市场监督管理所,POINT(121.412133 31.36753),顾村市场监督管理所,200000,96,114,1,0,210.14.76.247,8000,1
96,S-310101-1,绿地优鲜新邻店,POINT(121.493628 31.217244),陆家浜路1100号,200000,4,114,1,0,210.14.76.247,8000,1
97,K-310101-3-2,南京东路市场监管所,POINT(121.474077 31.236514),南京西路499号,200000,3,13701603388 ,1,0,210.14.76.247,8000,1
98,K-310101-2,外滩市场监管所,POINT(121.492025 31.24234),九江路249号,200000,2,13818018681 ,1,0,210.14.76.247,8000,1
99,K-310101-7,豫园市场监管所,POINT(121.494404 31.230373),河南南路300弄1号5楼,200000,7,13801664150 ,1,0,210.14.76.247,8000,1
100,K-310101-6-2,老西门市场监管所,POINT(121.492642 31.223786),梦花街234号11楼,200000,6,15901663773 ,1,0,210.14.76.247,8000,1
101,K-310101-5,小东门市场监管所,POINT(121.506275 31.226189),复兴东路248号8楼,200000,5,13818018591 ,1,0,210.14.76.247,8000,1
102,K-310101-4,半淞园市场监管所,POINT(121.498452 31.209426),保屯路213号,200000,4,13818151155 ,1,0,210.14.76.247,8000,1
103,K-310101-10,瑞金市场监管所,POINT(121.472801 31.228828),巨鹿路137号,200000,10,15801813385 ,1,0,210.14.76.247,8000,1
104,K-310101-8,打浦市场监管所,POINT(121.488364 31.213344),丽园路508号,200000,8,13761558101 ,1,0,210.14.76.247,8000,1
105,K-310101-9,淮海中路市场监管所,POINT(121.469378 31.223546),南昌路278弄1号,200000,9,15901663759 ,1,0,210.14.76.247,8000,1
106,K-310101-11,五里市场监管所,POINT(121.480645 31.204641),瞿溪路1072弄,200000,11,13901658197 ,1,0,210.14.76.247,8000,1
107,S-310101-6-1,万有全蓬莱菜市场,POINT(121.500927 31.22344),乔家路251号,200000,6,13601938117 ,2,0,210.14.76.247,8000,1
108,S-310101-6-2,万有全唐家湾菜市场,POINT(121.487828 31.219439),唐家湾路21号,200000,6,13361945981 ,2,0,210.14.76.247,8000,1
109,S-310101-6-3,万有全豫园菜市场,POINT(121.50008 31.229743),傅家街65号,200000,6,13901855756 ,2,0,210.14.76.247,8000,1
110,S-310101-6-4,万有全大境菜市场,POINT(121.489928 31.227931),人民路1018号,200000,6,13801929317 ,2,0,210.14.76.247,8000,1
111,S-310101-6-5,东江阴街菜场（临时）,POINT(121.504927 31.219688),东江阴街129号,200000,6,13311608423 ,2,0,210.14.76.247,8000,1
112,S-310101-6-6,万有全半淞园菜市场,POINT(121.503479 31.212661),瞿溪路17号,200000,6,13311608423 ,2,0,210.14.76.247,8000,1
113,S-310101-6-7,万有全普育菜市场,POINT(121.502943 31.215243),普育东路111号,200000,6,13916821272 ,2,0,210.14.76.247,8000,1
114,S-310101-6-8,万有全长江菜市场,POINT(121.492208 31.209966),西凌家宅路123号,200000,6,13817857828 ,2,0,210.14.76.247,8000,1
115,S-310101-6-9,万有全徽宁菜市场,POINT(121.495006 31.215123),徽宁路490号,200000,6,13817857828 ,2,0,210.14.76.247,8000,1
116,S-310101-3-1,八仙山海关路菜市场,POINT(121.473645 31.243651),山海关路117号,200000,3,13901872208 ,2,0,210.14.76.247,8000,1
117,S-310101-3-2,八仙马立斯菜市场,POINT(121.476609 31.23261),重庆北路190号,200000,3,13901872499 ,2,0,210.14.76.247,8000,1
118,S-310101-3-3,八仙宁波路菜市场,POINT(121.490367 31.244657),宁波路193号二楼,200000,3,13601871730 ,2,0,210.14.76.247,8000,1
119,S-310101-3-4,八仙永安菜市场,POINT(121.49799 31.236004),新永安路62号,200000,3,15921778857 ,2,0,210.14.76.247,8000,1
120,S-310101-3-5,八仙宁海菜市场,POINT(121.48796 31.234991),永寿路35号,200000,3,13916361113 ,2,0,210.14.76.247,8000,1
121,S-310101-8-1,巨鹿泰康菜市场,POINT(121.475623 31.213849),泰康路220号,200000,8,13585504819 ,2,0,210.14.76.247,8000,1
122,S-310101-8-2,巨鹿蒙西菜市场,POINT(121.483159 31.213477),蒙自西路2-18号,200000,8,13816725752 ,2,0,210.14.76.247,8000,1
123,S-310101-8-3,巨鹿永年菜市场,POINT(121.48696 31.218205),永年路58号,200000,8,13564888391 ,2,0,210.14.76.247,8000,1
124,S-310101-8-4,巨鹿海上梦苑菜场,POINT(121.486593 31.206011),瞿溪路860号,200000,8,13916587392 ,2,0,210.14.76.247,8000,1
125,S-310101-8-5,巨鹿江南菜场,POINT(121.483322 31.205633),鲁班路517号,200000,8,13916309596 ,2,0,210.14.76.247,8000,1
126,S-310101-8-6,新瞿溪菜市场,POINT(121.478978 31.204594),打浦路399号,200000,8,13024133239 ,2,0,210.14.76.247,8000,1
127,S-310101-8-7,马当菜市场,POINT(121.482531 31.220101),马当路349号（合肥路223弄54号）,200000,8,13701757049 ,2,0,210.14.76.247,8000,1
